id,prompt_category,graph,domain,task,cntbl_cond,subject,temperature,likelihood,confidence,experiment_name,human_subj_id,reasoning_type,RW17_label
8,numeric,collider,economy,IV,ppp,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,d
8,numeric-conf,collider,abc,IV,ppp,gemini-1.5-pro,0.0,50.0,50.0,pilot_study,,Conditional Independence,d
9,numeric-conf,collider,abc,V,ppp,gemini-1.5-pro,0.0,50.0,80.0,pilot_study,,Conditional Independence,e
9,numeric-conf,collider,abc,V,ppp,claude-3-opus,0.0,50.0,20.0,pilot_study,,Conditional Independence,e
9,numeric,collider,economy,V,ppp,humans,,50.625,,pilot_study,25.0,Conditional Independence,e
9,numeric,collider,economy,V,ppp,gpt-4o,0.0,0.0,,pilot_study,,Conditional Independence,e
10,numeric,collider,economy,V,ppp,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,e
10,numeric-conf,collider,abc,V,ppp,gemini-1.5-pro,0.0,70.0,70.0,pilot_study,,Conditional Independence,e
10,numeric,collider,economy,V,ppp,humans,,50.625,,pilot_study,25.0,Conditional Independence,e
10,numeric-conf,collider,abc,V,ppp,claude-3-opus,0.0,50.0,20.0,pilot_study,,Conditional Independence,e
11,numeric,collider,economy,IX,ppp,humans,,47.5,,pilot_study,69.0,Effect-Absent Diagnostic Inference,f
11,numeric,collider,economy,IX,ppp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Absent Diagnostic Inference,f
11,numeric-conf,collider,abc,IX,ppp,gemini-1.5-pro,0.0,0.0,100.0,pilot_study,,Effect-Absent Diagnostic Inference,f
11,numeric-conf,collider,abc,IX,ppp,claude-3-opus,0.0,0.0,100.0,pilot_study,,Effect-Absent Diagnostic Inference,f
12,numeric,collider,economy,IX,ppp,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,f
12,numeric,collider,economy,IX,ppp,humans,,47.5,,pilot_study,69.0,Effect-Absent Diagnostic Inference,f
13,numeric,collider,economy,X,ppp,humans,,42.5,,pilot_study,0.0,Effect-Absent Diagnostic Inference,g
13,numeric,collider,economy,X,ppp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Absent Diagnostic Inference,g
14,numeric,collider,economy,X,ppp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Absent Diagnostic Inference,g
14,numeric,collider,economy,X,ppp,humans,,42.5,,pilot_study,69.0,Effect-Absent Diagnostic Inference,g
15,numeric,collider,economy,XI,ppp,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,h
15,numeric,collider,economy,XI,ppp,humans,,52.5,,pilot_study,0.0,Effect-Absent Diagnostic Inference,h
16,numeric,collider,economy,XI,ppp,humans,,52.5,,pilot_study,58.0,Effect-Absent Diagnostic Inference,h
16,numeric,collider,economy,XI,ppp,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,h
17,numeric,collider,economy,I,ppp,humans,,40.0,,pilot_study,25.0,Predictive Inference,i
17,numeric,collider,economy,I,ppp,gpt-4o,0.0,0.0,,pilot_study,,Predictive Inference,i
18,numeric,collider,economy,II,ppp,humans,,80.625,,pilot_study,58.0,Predictive Inference,j
18,numeric,collider,economy,II,ppp,gpt-4o,0.0,50.0,,pilot_study,,Predictive Inference,j
19,numeric,collider,economy,II,ppp,gpt-4o,0.0,50.0,,pilot_study,,Predictive Inference,j
19,numeric,collider,economy,II,ppp,humans,,80.625,,pilot_study,25.0,Predictive Inference,j
20,numeric,collider,economy,III,ppp,humans,,88.75,,pilot_study,0.0,Predictive Inference,k
20,numeric,collider,economy,III,ppp,gpt-4o,0.0,100.0,,pilot_study,,Predictive Inference,k
61,numeric,collider,economy,VI,pmm,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,a
61,numeric,collider,economy,VI,pmm,humans,,67.0,,pilot_study,112.0,Effect-Present Diagnostic Inference,a
62,numeric,collider,economy,VI,pmm,humans,,67.0,,pilot_study,133.0,Effect-Present Diagnostic Inference,a
62,numeric,collider,economy,VI,pmm,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,a
63,numeric,collider,economy,VII,pmm,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,b
63,numeric,collider,economy,VII,pmm,humans,,60.0,,pilot_study,112.0,Effect-Present Diagnostic Inference,b
64,numeric,collider,economy,VII,pmm,humans,,60.0,,pilot_study,40.0,Effect-Present Diagnostic Inference,b
64,numeric,collider,economy,VII,pmm,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,b
65,numeric,collider,economy,VIII,pmm,gpt-4o,0.0,100.0,,pilot_study,,Effect-Present Diagnostic Inference,c
65,numeric,collider,economy,VIII,pmm,humans,,69.5,,pilot_study,13.0,Effect-Present Diagnostic Inference,c
66,numeric,collider,economy,VIII,pmm,humans,,69.5,,pilot_study,112.0,Effect-Present Diagnostic Inference,c
66,numeric,collider,economy,VIII,pmm,gpt-4o,0.0,100.0,,pilot_study,,Effect-Present Diagnostic Inference,c
67,numeric,collider,economy,IV,pmm,humans,,50.5,,pilot_study,112.0,Conditional Independence,d
67,numeric,collider,economy,IV,pmm,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,d
68,numeric,collider,economy,IV,pmm,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,d
68,numeric,collider,economy,IV,pmm,humans,,50.5,,pilot_study,112.0,Conditional Independence,d
69,numeric,collider,economy,V,pmm,humans,,37.0,,pilot_study,13.0,Conditional Independence,e
69,numeric,collider,economy,V,pmm,gpt-4o,0.0,0.0,,pilot_study,,Conditional Independence,e
70,numeric,collider,economy,V,pmm,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,e
70,numeric,collider,economy,V,pmm,humans,,37.0,,pilot_study,112.0,Conditional Independence,e
71,numeric,collider,economy,IX,pmm,humans,,34.5,,pilot_study,133.0,Effect-Absent Diagnostic Inference,f
71,numeric,collider,economy,IX,pmm,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,f
72,numeric,collider,economy,IX,pmm,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,f
72,numeric,collider,economy,IX,pmm,humans,,34.5,,pilot_study,13.0,Effect-Absent Diagnostic Inference,f
73,numeric,collider,economy,X,pmm,humans,,37.5,,pilot_study,119.0,Effect-Absent Diagnostic Inference,g
73,numeric,collider,economy,X,pmm,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,g
74,numeric,collider,economy,X,pmm,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,g
74,numeric,collider,economy,X,pmm,humans,,37.5,,pilot_study,13.0,Effect-Absent Diagnostic Inference,g
75,numeric,collider,economy,XI,pmm,humans,,25.5,,pilot_study,40.0,Effect-Absent Diagnostic Inference,h
75,numeric,collider,economy,XI,pmm,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,h
76,numeric,collider,economy,XI,pmm,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,h
76,numeric,collider,economy,XI,pmm,humans,,25.5,,pilot_study,13.0,Effect-Absent Diagnostic Inference,h
77,numeric,collider,economy,I,pmm,humans,,28.0,,pilot_study,119.0,Predictive Inference,i
77,numeric,collider,economy,I,pmm,gpt-4o,0.0,0.0,,pilot_study,,Predictive Inference,i
78,numeric,collider,economy,II,pmm,gpt-4o,0.0,50.0,,pilot_study,,Predictive Inference,j
78,numeric,collider,economy,II,pmm,humans,,58.5,,pilot_study,133.0,Predictive Inference,j
79,numeric,collider,economy,II,pmm,humans,,58.5,,pilot_study,119.0,Predictive Inference,j
79,numeric,collider,economy,II,pmm,gpt-4o,0.0,100.0,,pilot_study,,Predictive Inference,j
80,numeric,collider,economy,III,pmm,humans,,79.0,,pilot_study,133.0,Predictive Inference,k
80,numeric,collider,economy,III,pmm,gpt-4o,0.0,100.0,,pilot_study,,Predictive Inference,k
101,numeric,collider,economy,VI,mpm,humans,,72.5,,pilot_study,94.0,Effect-Present Diagnostic Inference,a
101,numeric,collider,economy,VI,mpm,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,a
102,numeric,collider,economy,VI,mpm,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,a
102,numeric,collider,economy,VI,mpm,humans,,72.5,,pilot_study,82.0,Effect-Present Diagnostic Inference,a
103,numeric,collider,economy,VII,mpm,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,b
103,numeric,collider,economy,VII,mpm,humans,,69.375,,pilot_study,82.0,Effect-Present Diagnostic Inference,b
104,numeric,collider,economy,VII,mpm,humans,,69.375,,pilot_study,136.0,Effect-Present Diagnostic Inference,b
104,numeric,collider,economy,VII,mpm,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,b
105,numeric,collider,economy,VIII,mpm,gpt-4o,0.0,100.0,,pilot_study,,Effect-Present Diagnostic Inference,c
105,numeric,collider,economy,VIII,mpm,humans,,81.25,,pilot_study,94.0,Effect-Present Diagnostic Inference,c
106,numeric,collider,economy,VIII,mpm,humans,,81.25,,pilot_study,82.0,Effect-Present Diagnostic Inference,c
106,numeric,collider,economy,VIII,mpm,gpt-4o,0.0,100.0,,pilot_study,,Effect-Present Diagnostic Inference,c
107,numeric,collider,economy,IV,mpm,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,d
107,numeric,collider,economy,IV,mpm,humans,,58.125,,pilot_study,82.0,Conditional Independence,d
108,numeric,collider,economy,IV,mpm,humans,,58.125,,pilot_study,100.0,Conditional Independence,d
108,numeric,collider,economy,IV,mpm,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,d
109,numeric,collider,economy,V,mpm,gpt-4o,0.0,0.0,,pilot_study,,Conditional Independence,e
109,numeric,collider,economy,V,mpm,humans,,44.375,,pilot_study,100.0,Conditional Independence,e
110,numeric,collider,economy,V,mpm,humans,,44.375,,pilot_study,94.0,Conditional Independence,e
110,numeric,collider,economy,V,mpm,gpt-4o,0.0,0.0,,pilot_study,,Conditional Independence,e
111,numeric,collider,economy,IX,mpm,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,f
111,numeric,collider,economy,IX,mpm,humans,,33.75,,pilot_study,82.0,Effect-Absent Diagnostic Inference,f
112,numeric,collider,economy,IX,mpm,humans,,33.75,,pilot_study,82.0,Effect-Absent Diagnostic Inference,f
112,numeric,collider,economy,IX,mpm,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,f
113,numeric,collider,economy,X,mpm,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,g
113,numeric,collider,economy,X,mpm,humans,,25.625,,pilot_study,82.0,Effect-Absent Diagnostic Inference,g
114,numeric,collider,economy,X,mpm,humans,,25.625,,pilot_study,82.0,Effect-Absent Diagnostic Inference,g
114,numeric,collider,economy,X,mpm,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,g
115,numeric,collider,economy,XI,mpm,humans,,15.0,,pilot_study,136.0,Effect-Absent Diagnostic Inference,h
115,numeric,collider,economy,XI,mpm,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,h
116,numeric,collider,economy,XI,mpm,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,h
116,numeric,collider,economy,XI,mpm,humans,,15.0,,pilot_study,136.0,Effect-Absent Diagnostic Inference,h
117,numeric,collider,economy,I,mpm,gpt-4o,0.0,0.0,,pilot_study,,Predictive Inference,i
117,numeric,collider,economy,I,mpm,humans,,20.0,,pilot_study,100.0,Predictive Inference,i
118,numeric,collider,economy,II,mpm,gpt-4o,0.0,50.0,,pilot_study,,Predictive Inference,j
118,numeric,collider,economy,II,mpm,humans,,76.25,,pilot_study,100.0,Predictive Inference,j
119,numeric,collider,economy,II,mpm,humans,,76.25,,pilot_study,100.0,Predictive Inference,j
119,numeric,collider,economy,II,mpm,gpt-4o,0.0,100.0,,pilot_study,,Predictive Inference,j
120,numeric,collider,economy,III,mpm,humans,,95.0,,pilot_study,100.0,Predictive Inference,k
120,numeric,collider,economy,III,mpm,gpt-4o,0.0,100.0,,pilot_study,,Predictive Inference,k
121,numeric,collider,economy,VI,mmp,humans,,75.83333333333333,,pilot_study,21.0,Effect-Present Diagnostic Inference,a
121,numeric,collider,economy,VI,mmp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,a
122,numeric,collider,economy,VI,mmp,humans,,75.83333333333333,,pilot_study,21.0,Effect-Present Diagnostic Inference,a
122,numeric,collider,economy,VI,mmp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,a
123,numeric,collider,economy,VII,mmp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,b
123,numeric,collider,economy,VII,mmp,humans,,74.16666666666667,,pilot_study,21.0,Effect-Present Diagnostic Inference,b
124,numeric,collider,economy,VII,mmp,humans,,74.16666666666667,,pilot_study,84.0,Effect-Present Diagnostic Inference,b
124,numeric,collider,economy,VII,mmp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,b
125,numeric,collider,economy,VIII,mmp,gpt-4o,0.0,100.0,,pilot_study,,Effect-Present Diagnostic Inference,c
125,numeric,collider,economy,VIII,mmp,humans,,59.166666666666664,,pilot_study,84.0,Effect-Present Diagnostic Inference,c
126,numeric,collider,economy,VIII,mmp,humans,,59.166666666666664,,pilot_study,84.0,Effect-Present Diagnostic Inference,c
126,numeric,collider,economy,VIII,mmp,gpt-4o,0.0,100.0,,pilot_study,,Effect-Present Diagnostic Inference,c
127,numeric,collider,economy,IV,mmp,humans,,43.333333333333336,,pilot_study,84.0,Conditional Independence,d
127,numeric,collider,economy,IV,mmp,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,d
128,numeric,collider,economy,IV,mmp,humans,,43.333333333333336,,pilot_study,46.0,Conditional Independence,d
128,numeric,collider,economy,IV,mmp,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,d
129,numeric,collider,economy,V,mmp,humans,,40.0,,pilot_study,21.0,Conditional Independence,e
129,numeric,collider,economy,V,mmp,gpt-4o,0.0,0.0,,pilot_study,,Conditional Independence,e
130,numeric,collider,economy,V,mmp,gpt-4o,0.0,0.0,,pilot_study,,Conditional Independence,e
130,numeric,collider,economy,V,mmp,humans,,40.0,,pilot_study,21.0,Conditional Independence,e
131,numeric,collider,economy,IX,mmp,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,f
131,numeric,collider,economy,IX,mmp,humans,,18.333333333333332,,pilot_study,46.0,Effect-Absent Diagnostic Inference,f
132,numeric,collider,economy,IX,mmp,humans,,18.333333333333332,,pilot_study,21.0,Effect-Absent Diagnostic Inference,f
132,numeric,collider,economy,IX,mmp,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,f
133,numeric,collider,economy,X,mmp,humans,,35.0,,pilot_study,21.0,Effect-Absent Diagnostic Inference,g
133,numeric,collider,economy,X,mmp,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,g
134,numeric,collider,economy,X,mmp,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,g
134,numeric,collider,economy,X,mmp,humans,,35.0,,pilot_study,46.0,Effect-Absent Diagnostic Inference,g
135,numeric,collider,economy,XI,mmp,humans,,32.5,,pilot_study,21.0,Effect-Absent Diagnostic Inference,h
135,numeric,collider,economy,XI,mmp,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,h
136,numeric,collider,economy,XI,mmp,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,h
136,numeric,collider,economy,XI,mmp,humans,,32.5,,pilot_study,46.0,Effect-Absent Diagnostic Inference,h
137,numeric,collider,economy,I,mmp,gpt-4o,0.0,0.0,,pilot_study,,Predictive Inference,i
137,numeric,collider,economy,I,mmp,humans,,30.0,,pilot_study,46.0,Predictive Inference,i
138,numeric,collider,economy,II,mmp,humans,,63.333333333333336,,pilot_study,46.0,Predictive Inference,j
138,numeric,collider,economy,II,mmp,gpt-4o,0.0,100.0,,pilot_study,,Predictive Inference,j
139,numeric,collider,economy,II,mmp,gpt-4o,0.0,100.0,,pilot_study,,Predictive Inference,j
139,numeric,collider,economy,II,mmp,humans,,63.333333333333336,,pilot_study,21.0,Predictive Inference,j
140,numeric,collider,economy,III,mmp,gpt-4o,0.0,100.0,,pilot_study,,Predictive Inference,k
140,numeric,collider,economy,III,mmp,humans,,98.33333333333333,,pilot_study,46.0,Predictive Inference,k
161,numeric,collider,weather,VI,ppp,humans,,69.0,,pilot_study,4.0,Effect-Present Diagnostic Inference,a
161,numeric,collider,sociology,VI,ppp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,a
162,numeric,collider,weather,VI,ppp,humans,,69.0,,pilot_study,109.0,Effect-Present Diagnostic Inference,a
162,numeric,collider,sociology,VI,ppp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,a
163,numeric,collider,sociology,VII,ppp,gpt-4o,0.0,100.0,,pilot_study,,Effect-Present Diagnostic Inference,b
163,numeric,collider,weather,VII,ppp,humans,,61.0,,pilot_study,109.0,Effect-Present Diagnostic Inference,b
164,numeric,collider,weather,VII,ppp,humans,,61.0,,pilot_study,22.0,Effect-Present Diagnostic Inference,b
164,numeric,collider,sociology,VII,ppp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,b
165,numeric,collider,sociology,VIII,ppp,gpt-4o,0.0,100.0,,pilot_study,,Effect-Present Diagnostic Inference,c
165,numeric,collider,weather,VIII,ppp,humans,,65.5,,pilot_study,4.0,Effect-Present Diagnostic Inference,c
166,numeric,collider,weather,VIII,ppp,humans,,65.5,,pilot_study,22.0,Effect-Present Diagnostic Inference,c
166,numeric,collider,sociology,VIII,ppp,gpt-4o,0.0,100.0,,pilot_study,,Effect-Present Diagnostic Inference,c
167,numeric,collider,weather,IV,ppp,humans,,48.5,,pilot_study,109.0,Conditional Independence,d
167,numeric,collider,sociology,IV,ppp,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,d
168,numeric,collider,sociology,IV,ppp,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,d
168,numeric,collider,weather,IV,ppp,humans,,48.5,,pilot_study,4.0,Conditional Independence,d
169,numeric,collider,sociology,V,ppp,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,e
169,numeric,collider,weather,V,ppp,humans,,49.0,,pilot_study,45.0,Conditional Independence,e
170,numeric,collider,sociology,V,ppp,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,e
170,numeric,collider,weather,V,ppp,humans,,49.0,,pilot_study,45.0,Conditional Independence,e
171,numeric,collider,weather,IX,ppp,humans,,26.0,,pilot_study,45.0,Effect-Absent Diagnostic Inference,f
171,numeric,collider,sociology,IX,ppp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Absent Diagnostic Inference,f
172,numeric,collider,weather,IX,ppp,humans,,26.0,,pilot_study,97.0,Effect-Absent Diagnostic Inference,f
172,numeric,collider,sociology,IX,ppp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Absent Diagnostic Inference,f
173,numeric,collider,weather,X,ppp,humans,,32.5,,pilot_study,97.0,Effect-Absent Diagnostic Inference,g
173,numeric,collider,sociology,X,ppp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Absent Diagnostic Inference,g
174,numeric,collider,weather,X,ppp,humans,,32.5,,pilot_study,4.0,Effect-Absent Diagnostic Inference,g
174,numeric,collider,sociology,X,ppp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Absent Diagnostic Inference,g
175,numeric,collider,weather,XI,ppp,humans,,26.0,,pilot_study,22.0,Effect-Absent Diagnostic Inference,h
175,numeric,collider,sociology,XI,ppp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Absent Diagnostic Inference,h
176,numeric,collider,sociology,XI,ppp,gpt-4o,0.0,50.0,,pilot_study,,Effect-Absent Diagnostic Inference,h
176,numeric,collider,weather,XI,ppp,humans,,26.0,,pilot_study,4.0,Effect-Absent Diagnostic Inference,h
177,numeric,collider,weather,I,ppp,humans,,24.0,,pilot_study,109.0,Predictive Inference,i
177,numeric,collider,sociology,I,ppp,gpt-4o,0.0,50.0,,pilot_study,,Predictive Inference,i
178,numeric,collider,weather,II,ppp,humans,,62.0,,pilot_study,97.0,Predictive Inference,j
178,numeric,collider,sociology,II,ppp,gpt-4o,0.0,50.0,,pilot_study,,Predictive Inference,j
179,numeric,collider,sociology,II,ppp,gpt-4o,0.0,100.0,,pilot_study,,Predictive Inference,j
179,numeric,collider,weather,II,ppp,humans,,62.0,,pilot_study,22.0,Predictive Inference,j
180,numeric,collider,weather,III,ppp,humans,,97.0,,pilot_study,4.0,Predictive Inference,k
180,numeric,collider,sociology,III,ppp,gpt-4o,0.0,100.0,,pilot_study,,Predictive Inference,k
221,numeric,collider,sociology,VI,pmm,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,a
221,numeric,collider,weather,VI,pmm,humans,,74.16666666666667,,pilot_study,138.0,Effect-Present Diagnostic Inference,a
222,numeric,collider,weather,VI,pmm,humans,,74.16666666666667,,pilot_study,101.0,Effect-Present Diagnostic Inference,a
222,numeric,collider,sociology,VI,pmm,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,a
223,numeric,collider,sociology,VII,pmm,gpt-4o,0.0,50.0,,pilot_study,,Effect-Present Diagnostic Inference,b
223,numeric,collider,weather,VII,pmm,humans,,75.0,,pilot_study,101.0,Effect-Present Diagnostic Inference,b
224,numeric,collider,sociology,VII,pmm,gpt-4o,0.0,100.0,,pilot_study,,Effect-Present Diagnostic Inference,b
224,numeric,collider,weather,VII,pmm,humans,,75.0,,pilot_study,56.0,Effect-Present Diagnostic Inference,b
225,numeric,collider,weather,VIII,pmm,humans,,96.66666666666667,,pilot_study,101.0,Effect-Present Diagnostic Inference,c
225,numeric,collider,sociology,VIII,pmm,gpt-4o,0.0,100.0,,pilot_study,,Effect-Present Diagnostic Inference,c
226,numeric,collider,weather,VIII,pmm,humans,,96.66666666666667,,pilot_study,56.0,Effect-Present Diagnostic Inference,c
226,numeric,collider,sociology,VIII,pmm,gpt-4o,0.0,100.0,,pilot_study,,Effect-Present Diagnostic Inference,c
227,numeric,collider,sociology,IV,pmm,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,d
227,numeric,collider,weather,IV,pmm,humans,,70.0,,pilot_study,138.0,Conditional Independence,d
228,numeric,collider,sociology,IV,pmm,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,d
228,numeric,collider,weather,IV,pmm,humans,,70.0,,pilot_study,101.0,Conditional Independence,d
229,numeric,collider,sociology,V,pmm,gpt-4o,0.0,0.0,,pilot_study,,Conditional Independence,e
229,numeric,collider,weather,V,pmm,humans,,46.666666666666664,,pilot_study,101.0,Conditional Independence,e
230,numeric,collider,weather,V,pmm,humans,,46.666666666666664,,pilot_study,56.0,Conditional Independence,e
230,numeric,collider,sociology,V,pmm,gpt-4o,0.0,50.0,,pilot_study,,Conditional Independence,e
231,numeric,collider,weather,IX,pmm,humans,,13.333333333333334,,pilot_study,101.0,Effect-Absent Diagnostic Inference,f
231,numeric,collider,sociology,IX,pmm,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,f
232,numeric,collider,sociology,IX,pmm,gpt-4o,0.0,0.0,,pilot_study,,Effect-Absent Diagnostic Inference,f
232,numeric,collider,weather,IX,pmm,humans,,13.333333333333334,,pilot_study,101.0,Effect-Absent Diagnostic Inference,f
