id,prompt_category,graph,domain,task,cntbl_cond,subject,temperature,likelihood,experiment_name,confidence,reasoning,human_subj_id,reasoning_type,RW17_label
6,numeric,collider,abstract_abc,VIII,ppp,claude-3-7-sonnet-20250219,0.0,100.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
6,numeric,collider,abstract_abc,VIII,ppp,gpt-4o,0.0,100.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
6,CoT,collider,abstract_abc,VIII,ppp,gpt-4o,0.0,95.0,abstract_reasoning,90.0,"We observe powerful C and low A. High A and strong B can each independently cause powerful C. Since A is low, high A cannot be the cause of powerful C. Therefore, strong B is the likely cause of powerful C. Given the causal relationships, the presence of strong B is highly likely.",,Effect-Present Diagnostic Inference,c
6,numeric,collider,abstract_abc,VIII,ppp,o3,0.0,100.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
6,numeric,collider,abstract_abc,VIII,ppp,claude-3-5-haiku-20241022,0.0,100.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
6,numeric,collider,economy,VIII,ppp,humans,,76.875,pilot_study,,,0.0,Effect-Present Diagnostic Inference,c
6,numeric,collider,abstract_abc,VIII,ppp,gpt-4.1-mini,0.0,100.0,abstract_reasoning,,,,Effect-Present Diagnostic Inference,c
7,numeric,collider,abstract_abc,IV,ppp,claude-3-7-sonnet-20250219,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
7,numeric,collider,abstract_abc,IV,ppp,gpt-4.1,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
7,numeric,collider,abstract_abc,IV,ppp,claude-sonnet-4-20250514,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
7,numeric,collider,abstract_abc,IV,ppp,gpt-4o,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
7,numeric,collider,abstract_abc,IV,ppp,claude-3-5-haiku-20241022,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
7,CoT,collider,abstract_abc,IV,ppp,gpt-4o,0.0,50.0,abstract_reasoning,50.0,"Given the causal relationships, strong B alone is sufficient to cause powerful C. Observing strong B does not provide any direct information about the presence of high A, as high A and strong B independently cause powerful C. Therefore, the presence of strong B does not increase or decrease the likelihood of high A being present. Without additional information, the likelihood of high A remains at a baseline level, which is unknown from the given data. Thus, the likelihood of high A is indeterminate based solely on the observation of strong B.",,Conditional Independence,d
7,numeric-conf,collider,abstract_abc,IV,ppp,gpt-4o,0.0,50.0,abstract_reasoning,50.0,,,Conditional Independence,d
7,numeric,collider,abstract_abc,IV,ppp,claude-opus-4-20250514,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
7,numeric,collider,abstract_abc,IV,ppp,claude-3-haiku-20240307,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
7,numeric,collider,abstract_abc,IV,ppp,gpt-4.1-mini,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
7,numeric,collider,abstract_abc,IV,ppp,o3,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
7,numeric,collider,economy,IV,ppp,humans,,57.5,pilot_study,,,25.0,Conditional Independence,d
8,numeric,collider,abstract_abc,IV,ppp,claude-sonnet-4-20250514,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
8,numeric,collider,abstract_abc,IV,ppp,claude-opus-4-20250514,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
8,numeric-conf,collider,abstract_abc,IV,ppp,gpt-4o,0.0,50.0,abstract_reasoning,50.0,,,Conditional Independence,d
8,numeric,collider,abstract_abc,IV,ppp,o3,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
8,numeric,collider,abstract_abc,IV,ppp,gpt-4.1-mini,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
8,numeric,collider,abstract_abc,IV,ppp,claude-3-7-sonnet-20250219,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
8,numeric,collider,abstract_abc,IV,ppp,gpt-4o,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
8,numeric,collider,abstract_abc,IV,ppp,gpt-4.1,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
8,CoT,collider,abstract_abc,IV,ppp,gpt-4o,0.0,50.0,abstract_reasoning,50.0,"Given the causal relationships, high A independently causes powerful C, and strong B also independently causes powerful C. Observing high A is sufficient to cause powerful C, so the presence of strong B is not necessary to explain powerful C. Therefore, the observation of high A does not provide any additional information about the likelihood of strong B being present. Without further information, the likelihood of strong B is indeterminate and should be considered as 50, representing no additional information to suggest it is more or less likely than not.",,Conditional Independence,d
8,numeric,collider,abstract_abc,IV,ppp,claude-3-5-haiku-20241022,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
8,numeric,collider,abstract_abc,IV,ppp,claude-3-haiku-20240307,0.0,50.0,abstract_reasoning,,,,Conditional Independence,d
8,numeric,collider,economy,IV,ppp,humans,,57.5,pilot_study,,,58.0,Conditional Independence,d
9,numeric,collider,abstract_abc,V,ppp,claude-3-7-sonnet-20250219,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
9,numeric,collider,economy,V,ppp,humans,,50.625,pilot_study,,,69.0,Conditional Independence,e
9,numeric,collider,abstract_abc,V,ppp,claude-3-5-haiku-20241022,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
9,numeric,collider,abstract_abc,V,ppp,gpt-4.1-mini,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
9,numeric,collider,abstract_abc,V,ppp,claude-3-haiku-20240307,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
9,numeric,collider,abstract_abc,V,ppp,claude-sonnet-4-20250514,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
9,numeric-conf,collider,abstract_abc,V,ppp,gpt-4o,0.0,50.0,abstract_reasoning,60.0,,,Conditional Independence,e
9,numeric,collider,abstract_abc,V,ppp,o3,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
9,numeric,collider,abstract_abc,V,ppp,gpt-4.1,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
9,numeric,collider,abstract_abc,V,ppp,claude-opus-4-20250514,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
9,numeric,collider,abstract_abc,V,ppp,gpt-4o,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
9,CoT,collider,abstract_abc,V,ppp,gpt-4o,0.0,50.0,abstract_reasoning,60.0,"Given the causal relationships, powerful C can be caused by either high A or strong B independently. Observing weak B suggests that strong B is not present, which means strong B is not causing powerful C. Therefore, if powerful C is observed, it is more likely due to high A. However, without direct observation of C, we cannot be certain. The absence of strong B slightly increases the likelihood of high A being present if powerful C is observed, but without additional information, the likelihood is moderate.",,Conditional Independence,e
10,numeric,collider,abstract_abc,V,ppp,claude-3-5-haiku-20241022,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
10,numeric,collider,economy,V,ppp,humans,,50.625,pilot_study,,,0.0,Conditional Independence,e
10,numeric,collider,abstract_abc,V,ppp,o3,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
10,numeric,collider,abstract_abc,V,ppp,claude-opus-4-20250514,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
10,numeric,collider,abstract_abc,V,ppp,claude-sonnet-4-20250514,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
10,numeric,collider,abstract_abc,V,ppp,claude-3-haiku-20240307,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
10,numeric,collider,abstract_abc,V,ppp,gpt-4.1,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
10,numeric,collider,abstract_abc,V,ppp,gpt-4o,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
10,numeric,collider,abstract_abc,V,ppp,gpt-4.1-mini,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
10,numeric-conf,collider,abstract_abc,V,ppp,gpt-4o,0.0,50.0,abstract_reasoning,50.0,,,Conditional Independence,e
10,CoT,collider,abstract_abc,V,ppp,gpt-4o,0.0,50.0,abstract_reasoning,50.0,"Given that low A is observed, high A cannot be the cause of powerful C. Since powerful C can be caused by either high A or strong B independently, the presence of powerful C would imply strong B is likely present. However, without information on whether powerful C is observed, we cannot definitively conclude the presence of strong B. Therefore, the likelihood of strong B being present is indeterminate without additional information on C. Assuming no other information, the likelihood is moderate.",,Conditional Independence,e
10,numeric,collider,abstract_abc,V,ppp,claude-3-7-sonnet-20250219,0.0,50.0,abstract_reasoning,,,,Conditional Independence,e
11,numeric,collider,abstract_abc,IX,ppp,gpt-4.1-mini,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
11,numeric,collider,economy,IX,ppp,humans,,47.5,pilot_study,,,0.0,Effect-Absent Diagnostic Inference,f
11,numeric,collider,abstract_abc,IX,ppp,claude-3-7-sonnet-20250219,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
11,CoT,collider,abstract_abc,IX,ppp,gpt-4o,0.0,10.0,abstract_reasoning,80.0,"Given the causal relationships, powerful C can be caused by either high A or strong B independently. Observing weak C suggests that neither high A nor strong B is effectively causing powerful C. Since strong B is present but C is weak, it implies that strong B is not causing powerful C, which suggests that high A is also likely not present, as its presence would likely result in powerful C. Therefore, the likelihood of high A being present is low.",,Effect-Absent Diagnostic Inference,f
11,numeric,collider,abstract_abc,IX,ppp,gpt-4.1,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
11,numeric,collider,abstract_abc,IX,ppp,claude-3-haiku-20240307,0.0,50.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
11,numeric,collider,abstract_abc,IX,ppp,o3,0.0,10.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
11,numeric-conf,collider,abstract_abc,IX,ppp,gpt-4o,0.0,0.0,abstract_reasoning,90.0,,,Effect-Absent Diagnostic Inference,f
11,numeric,collider,abstract_abc,IX,ppp,claude-sonnet-4-20250514,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
11,numeric,collider,abstract_abc,IX,ppp,claude-3-5-haiku-20241022,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
11,numeric,collider,abstract_abc,IX,ppp,claude-opus-4-20250514,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
11,numeric,collider,abstract_abc,IX,ppp,gpt-4o,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
12,numeric,collider,economy,IX,ppp,humans,,47.5,pilot_study,,,25.0,Effect-Absent Diagnostic Inference,f
12,numeric,collider,abstract_abc,IX,ppp,claude-3-haiku-20240307,0.0,50.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
12,CoT,collider,abstract_abc,IX,ppp,gpt-4o,0.0,10.0,abstract_reasoning,90.0,"Given the causal relationships, high A should cause powerful C. However, we observe weak C despite high A, suggesting that something is preventing C from being powerful. Since strong B also causes powerful C, the presence of weak C implies that strong B is likely not present. If strong B were present, it would likely cause powerful C, contradicting the observation of weak C. Therefore, the likelihood of strong B being present is low.",,Effect-Absent Diagnostic Inference,f
12,numeric,collider,abstract_abc,IX,ppp,claude-opus-4-20250514,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
12,numeric,collider,abstract_abc,IX,ppp,gpt-4o,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
12,numeric,collider,abstract_abc,IX,ppp,claude-sonnet-4-20250514,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
12,numeric,collider,abstract_abc,IX,ppp,gpt-4.1,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
12,numeric,collider,abstract_abc,IX,ppp,gpt-4.1-mini,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
12,numeric,collider,abstract_abc,IX,ppp,o3,0.0,10.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
12,numeric-conf,collider,abstract_abc,IX,ppp,gpt-4o,0.0,0.0,abstract_reasoning,100.0,,,Effect-Absent Diagnostic Inference,f
12,numeric,collider,abstract_abc,IX,ppp,claude-3-5-haiku-20241022,0.0,50.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
12,numeric,collider,abstract_abc,IX,ppp,claude-3-7-sonnet-20250219,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,f
13,numeric,collider,abstract_abc,X,ppp,gpt-4.1-mini,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
13,numeric,collider,abstract_abc,X,ppp,claude-opus-4-20250514,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
13,numeric,collider,abstract_abc,X,ppp,o3,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
13,numeric-conf,collider,abstract_abc,X,ppp,gpt-4o,0.0,0.0,abstract_reasoning,90.0,,,Effect-Absent Diagnostic Inference,g
13,CoT,collider,abstract_abc,X,ppp,gpt-4o,0.0,10.0,abstract_reasoning,90.0,"Given the causal relationships, high A or strong B independently cause powerful C. Observing weak C suggests that neither high A nor strong B is present. Therefore, the likelihood of high A being present is low because if high A were present, we would expect powerful C, not weak C.",,Effect-Absent Diagnostic Inference,g
13,numeric,collider,abstract_abc,X,ppp,claude-3-haiku-20240307,0.0,50.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
13,numeric,collider,abstract_abc,X,ppp,claude-sonnet-4-20250514,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
13,numeric,collider,abstract_abc,X,ppp,gpt-4o,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
13,numeric,collider,abstract_abc,X,ppp,gpt-4.1,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
13,numeric,collider,abstract_abc,X,ppp,claude-3-7-sonnet-20250219,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
13,numeric,collider,economy,X,ppp,humans,,42.5,pilot_study,,,58.0,Effect-Absent Diagnostic Inference,g
13,numeric,collider,abstract_abc,X,ppp,claude-3-5-haiku-20241022,0.0,50.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
14,CoT,collider,abstract_abc,X,ppp,gpt-4o,0.0,10.0,abstract_reasoning,90.0,"Given the causal relationships, powerful C is caused by either high A or strong B. Observing weak C suggests that neither high A nor strong B is present, as either would independently cause powerful C. Therefore, the presence of strong B is unlikely given the observation of weak C.",,Effect-Absent Diagnostic Inference,g
14,numeric,collider,abstract_abc,X,ppp,gpt-4.1-mini,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
14,numeric,collider,abstract_abc,X,ppp,gpt-4.1,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
14,numeric,collider,economy,X,ppp,humans,,42.5,pilot_study,,,25.0,Effect-Absent Diagnostic Inference,g
14,numeric,collider,abstract_abc,X,ppp,claude-sonnet-4-20250514,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
14,numeric,collider,abstract_abc,X,ppp,claude-3-5-haiku-20241022,0.0,50.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
14,numeric,collider,abstract_abc,X,ppp,claude-opus-4-20250514,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
14,numeric,collider,abstract_abc,X,ppp,gpt-4o,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
14,numeric-conf,collider,abstract_abc,X,ppp,gpt-4o,0.0,0.0,abstract_reasoning,100.0,,,Effect-Absent Diagnostic Inference,g
14,numeric,collider,abstract_abc,X,ppp,o3,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
14,numeric,collider,abstract_abc,X,ppp,claude-3-haiku-20240307,0.0,50.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
14,numeric,collider,abstract_abc,X,ppp,claude-3-7-sonnet-20250219,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,g
15,numeric,collider,abstract_abc,XI,ppp,gpt-4.1-mini,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,h
15,numeric-conf,collider,abstract_abc,XI,ppp,gpt-4o,0.0,0.0,abstract_reasoning,90.0,,,Effect-Absent Diagnostic Inference,h
15,numeric,collider,abstract_abc,XI,ppp,o3,0.0,10.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,h
15,numeric,collider,economy,XI,ppp,humans,,52.5,pilot_study,,,69.0,Effect-Absent Diagnostic Inference,h
15,numeric,collider,abstract_abc,XI,ppp,claude-sonnet-4-20250514,0.0,0.0,abstract_reasoning,,,,Effect-Absent Diagnostic Inference,h
