id,prompt_category,graph,domain,task,cntbl_cond,subject,temperature,likelihood,experiment_name,human_subj_id,reasoning_type,RW17_label
19,single_numeric_response,collider,economy,II,ppp,gpt-4o,0.0,70.0,pilot_study,,Predictive Inference,j
20,single_numeric_response,collider,economy,III,ppp,gpt-4o,0.0,100.0,pilot_study,,Predictive Inference,k
20,single_numeric_response,collider,economy,III,ppp,humans,,88.75,pilot_study,58.0,Predictive Inference,k
61,single_numeric_response,collider,economy,VI,pmm,humans,,67.0,pilot_study,40.0,Effect-Present Diagnostic Inference,a
61,single_numeric_response,collider,economy,VI,pmm,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,a
62,single_numeric_response,collider,economy,VI,pmm,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,a
62,single_numeric_response,collider,economy,VI,pmm,humans,,67.0,pilot_study,40.0,Effect-Present Diagnostic Inference,a
63,single_numeric_response,collider,economy,VII,pmm,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,b
63,single_numeric_response,collider,economy,VII,pmm,humans,,60.0,pilot_study,112.0,Effect-Present Diagnostic Inference,b
64,single_numeric_response,collider,economy,VII,pmm,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,b
64,single_numeric_response,collider,economy,VII,pmm,humans,,60.0,pilot_study,112.0,Effect-Present Diagnostic Inference,b
65,single_numeric_response,collider,economy,VIII,pmm,humans,,69.5,pilot_study,133.0,Effect-Present Diagnostic Inference,c
65,single_numeric_response,collider,economy,VIII,pmm,gpt-4o,0.0,100.0,pilot_study,,Effect-Present Diagnostic Inference,c
66,single_numeric_response,collider,economy,VIII,pmm,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,c
66,single_numeric_response,collider,economy,VIII,pmm,humans,,69.5,pilot_study,133.0,Effect-Present Diagnostic Inference,c
67,single_numeric_response,collider,economy,IV,pmm,humans,,50.5,pilot_study,119.0,Conditional Independence,d
67,single_numeric_response,collider,economy,IV,pmm,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,d
68,single_numeric_response,collider,economy,IV,pmm,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,d
68,single_numeric_response,collider,economy,IV,pmm,humans,,50.5,pilot_study,13.0,Conditional Independence,d
69,single_numeric_response,collider,economy,V,pmm,humans,,37.0,pilot_study,133.0,Conditional Independence,e
69,single_numeric_response,collider,economy,V,pmm,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,e
70,single_numeric_response,collider,economy,V,pmm,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,e
70,single_numeric_response,collider,economy,V,pmm,humans,,37.0,pilot_study,133.0,Conditional Independence,e
71,single_numeric_response,collider,economy,IX,pmm,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,f
71,single_numeric_response,collider,economy,IX,pmm,humans,,34.5,pilot_study,119.0,Effect-Absent Diagnostic Inference,f
72,single_numeric_response,collider,economy,IX,pmm,humans,,34.5,pilot_study,112.0,Effect-Absent Diagnostic Inference,f
72,single_numeric_response,collider,economy,IX,pmm,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,f
73,single_numeric_response,collider,economy,X,pmm,humans,,37.5,pilot_study,13.0,Effect-Absent Diagnostic Inference,g
73,single_numeric_response,collider,economy,X,pmm,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,g
74,single_numeric_response,collider,economy,X,pmm,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,g
74,single_numeric_response,collider,economy,X,pmm,humans,,37.5,pilot_study,112.0,Effect-Absent Diagnostic Inference,g
75,single_numeric_response,collider,economy,XI,pmm,humans,,25.5,pilot_study,40.0,Effect-Absent Diagnostic Inference,h
75,single_numeric_response,collider,economy,XI,pmm,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,h
76,single_numeric_response,collider,economy,XI,pmm,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,h
76,single_numeric_response,collider,economy,XI,pmm,humans,,25.5,pilot_study,133.0,Effect-Absent Diagnostic Inference,h
77,single_numeric_response,collider,economy,I,pmm,humans,,28.0,pilot_study,119.0,Predictive Inference,i
77,single_numeric_response,collider,economy,I,pmm,gpt-4o,0.0,0.0,pilot_study,,Predictive Inference,i
78,single_numeric_response,collider,economy,II,pmm,gpt-4o,0.0,50.0,pilot_study,,Predictive Inference,j
78,single_numeric_response,collider,economy,II,pmm,humans,,58.5,pilot_study,119.0,Predictive Inference,j
79,single_numeric_response,collider,economy,II,pmm,gpt-4o,0.0,75.0,pilot_study,,Predictive Inference,j
79,single_numeric_response,collider,economy,II,pmm,humans,,58.5,pilot_study,40.0,Predictive Inference,j
80,single_numeric_response,collider,economy,III,pmm,humans,,79.0,pilot_study,40.0,Predictive Inference,k
80,single_numeric_response,collider,economy,III,pmm,gpt-4o,0.0,100.0,pilot_study,,Predictive Inference,k
101,single_numeric_response,collider,economy,VI,mpm,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,a
101,single_numeric_response,collider,economy,VI,mpm,humans,,72.5,pilot_study,100.0,Effect-Present Diagnostic Inference,a
102,single_numeric_response,collider,economy,VI,mpm,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,a
102,single_numeric_response,collider,economy,VI,mpm,humans,,72.5,pilot_study,136.0,Effect-Present Diagnostic Inference,a
103,single_numeric_response,collider,economy,VII,mpm,humans,,69.375,pilot_study,82.0,Effect-Present Diagnostic Inference,b
103,single_numeric_response,collider,economy,VII,mpm,gpt-4o,0.0,75.0,pilot_study,,Effect-Present Diagnostic Inference,b
104,single_numeric_response,collider,economy,VII,mpm,humans,,69.375,pilot_study,94.0,Effect-Present Diagnostic Inference,b
104,single_numeric_response,collider,economy,VII,mpm,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,b
105,single_numeric_response,collider,economy,VIII,mpm,gpt-4o,0.0,75.0,pilot_study,,Effect-Present Diagnostic Inference,c
105,single_numeric_response,collider,economy,VIII,mpm,humans,,81.25,pilot_study,82.0,Effect-Present Diagnostic Inference,c
106,single_numeric_response,collider,economy,VIII,mpm,humans,,81.25,pilot_study,100.0,Effect-Present Diagnostic Inference,c
106,single_numeric_response,collider,economy,VIII,mpm,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,c
107,single_numeric_response,collider,economy,IV,mpm,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,d
107,single_numeric_response,collider,economy,IV,mpm,humans,,58.125,pilot_study,82.0,Conditional Independence,d
108,single_numeric_response,collider,economy,IV,mpm,humans,,58.125,pilot_study,100.0,Conditional Independence,d
108,single_numeric_response,collider,economy,IV,mpm,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,d
109,single_numeric_response,collider,economy,V,mpm,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,e
109,single_numeric_response,collider,economy,V,mpm,humans,,44.375,pilot_study,82.0,Conditional Independence,e
110,single_numeric_response,collider,economy,V,mpm,humans,,44.375,pilot_study,100.0,Conditional Independence,e
110,single_numeric_response,collider,economy,V,mpm,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,e
111,single_numeric_response,collider,economy,IX,mpm,humans,,33.75,pilot_study,100.0,Effect-Absent Diagnostic Inference,f
111,single_numeric_response,collider,economy,IX,mpm,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,f
112,single_numeric_response,collider,economy,IX,mpm,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,f
112,single_numeric_response,collider,economy,IX,mpm,humans,,33.75,pilot_study,136.0,Effect-Absent Diagnostic Inference,f
113,single_numeric_response,collider,economy,X,mpm,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,g
113,single_numeric_response,collider,economy,X,mpm,humans,,25.625,pilot_study,100.0,Effect-Absent Diagnostic Inference,g
114,single_numeric_response,collider,economy,X,mpm,humans,,25.625,pilot_study,94.0,Effect-Absent Diagnostic Inference,g
114,single_numeric_response,collider,economy,X,mpm,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,g
115,single_numeric_response,collider,economy,XI,mpm,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,h
115,single_numeric_response,collider,economy,XI,mpm,humans,,15.0,pilot_study,136.0,Effect-Absent Diagnostic Inference,h
116,single_numeric_response,collider,economy,XI,mpm,humans,,15.0,pilot_study,94.0,Effect-Absent Diagnostic Inference,h
116,single_numeric_response,collider,economy,XI,mpm,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,h
117,single_numeric_response,collider,economy,I,mpm,gpt-4o,0.0,0.0,pilot_study,,Predictive Inference,i
117,single_numeric_response,collider,economy,I,mpm,humans,,20.0,pilot_study,82.0,Predictive Inference,i
118,single_numeric_response,collider,economy,II,mpm,gpt-4o,0.0,50.0,pilot_study,,Predictive Inference,j
118,single_numeric_response,collider,economy,II,mpm,humans,,76.25,pilot_study,100.0,Predictive Inference,j
119,single_numeric_response,collider,economy,II,mpm,humans,,76.25,pilot_study,94.0,Predictive Inference,j
119,single_numeric_response,collider,economy,II,mpm,gpt-4o,0.0,80.0,pilot_study,,Predictive Inference,j
120,single_numeric_response,collider,economy,III,mpm,humans,,95.0,pilot_study,100.0,Predictive Inference,k
120,single_numeric_response,collider,economy,III,mpm,gpt-4o,0.0,100.0,pilot_study,,Predictive Inference,k
121,single_numeric_response,collider,economy,VI,mmp,humans,,75.83333333333333,pilot_study,46.0,Effect-Present Diagnostic Inference,a
121,single_numeric_response,collider,economy,VI,mmp,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,a
122,single_numeric_response,collider,economy,VI,mmp,humans,,75.83333333333333,pilot_study,21.0,Effect-Present Diagnostic Inference,a
122,single_numeric_response,collider,economy,VI,mmp,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,a
123,single_numeric_response,collider,economy,VII,mmp,humans,,74.16666666666667,pilot_study,21.0,Effect-Present Diagnostic Inference,b
123,single_numeric_response,collider,economy,VII,mmp,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,b
124,single_numeric_response,collider,economy,VII,mmp,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,b
124,single_numeric_response,collider,economy,VII,mmp,humans,,74.16666666666667,pilot_study,84.0,Effect-Present Diagnostic Inference,b
125,single_numeric_response,collider,economy,VIII,mmp,gpt-4o,0.0,100.0,pilot_study,,Effect-Present Diagnostic Inference,c
125,single_numeric_response,collider,economy,VIII,mmp,humans,,59.166666666666664,pilot_study,84.0,Effect-Present Diagnostic Inference,c
126,single_numeric_response,collider,economy,VIII,mmp,gpt-4o,0.0,100.0,pilot_study,,Effect-Present Diagnostic Inference,c
126,single_numeric_response,collider,economy,VIII,mmp,humans,,59.166666666666664,pilot_study,21.0,Effect-Present Diagnostic Inference,c
127,single_numeric_response,collider,economy,IV,mmp,humans,,43.333333333333336,pilot_study,84.0,Conditional Independence,d
127,single_numeric_response,collider,economy,IV,mmp,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,d
128,single_numeric_response,collider,economy,IV,mmp,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,d
128,single_numeric_response,collider,economy,IV,mmp,humans,,43.333333333333336,pilot_study,84.0,Conditional Independence,d
129,single_numeric_response,collider,economy,V,mmp,humans,,40.0,pilot_study,84.0,Conditional Independence,e
129,single_numeric_response,collider,economy,V,mmp,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,e
130,single_numeric_response,collider,economy,V,mmp,humans,,40.0,pilot_study,46.0,Conditional Independence,e
130,single_numeric_response,collider,economy,V,mmp,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,e
131,single_numeric_response,collider,economy,IX,mmp,humans,,18.333333333333332,pilot_study,46.0,Effect-Absent Diagnostic Inference,f
131,single_numeric_response,collider,economy,IX,mmp,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,f
132,single_numeric_response,collider,economy,IX,mmp,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,f
132,single_numeric_response,collider,economy,IX,mmp,humans,,18.333333333333332,pilot_study,21.0,Effect-Absent Diagnostic Inference,f
133,single_numeric_response,collider,economy,X,mmp,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,g
133,single_numeric_response,collider,economy,X,mmp,humans,,35.0,pilot_study,84.0,Effect-Absent Diagnostic Inference,g
134,single_numeric_response,collider,economy,X,mmp,humans,,35.0,pilot_study,46.0,Effect-Absent Diagnostic Inference,g
134,single_numeric_response,collider,economy,X,mmp,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,g
135,single_numeric_response,collider,economy,XI,mmp,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,h
135,single_numeric_response,collider,economy,XI,mmp,humans,,32.5,pilot_study,46.0,Effect-Absent Diagnostic Inference,h
136,single_numeric_response,collider,economy,XI,mmp,humans,,32.5,pilot_study,84.0,Effect-Absent Diagnostic Inference,h
136,single_numeric_response,collider,economy,XI,mmp,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,h
137,single_numeric_response,collider,economy,I,mmp,gpt-4o,0.0,0.0,pilot_study,,Predictive Inference,i
137,single_numeric_response,collider,economy,I,mmp,humans,,30.0,pilot_study,46.0,Predictive Inference,i
138,single_numeric_response,collider,economy,II,mmp,humans,,63.333333333333336,pilot_study,46.0,Predictive Inference,j
138,single_numeric_response,collider,economy,II,mmp,gpt-4o,0.0,75.0,pilot_study,,Predictive Inference,j
139,single_numeric_response,collider,economy,II,mmp,humans,,63.333333333333336,pilot_study,84.0,Predictive Inference,j
139,single_numeric_response,collider,economy,II,mmp,gpt-4o,0.0,75.0,pilot_study,,Predictive Inference,j
140,single_numeric_response,collider,economy,III,mmp,gpt-4o,0.0,100.0,pilot_study,,Predictive Inference,k
140,single_numeric_response,collider,economy,III,mmp,humans,,98.33333333333333,pilot_study,84.0,Predictive Inference,k
161,single_numeric_response,collider,weather,VI,ppp,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,a
161,single_numeric_response,collider,weather,VI,ppp,humans,,69.0,pilot_study,22.0,Effect-Present Diagnostic Inference,a
162,single_numeric_response,collider,weather,VI,ppp,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,a
162,single_numeric_response,collider,weather,VI,ppp,humans,,69.0,pilot_study,22.0,Effect-Present Diagnostic Inference,a
163,single_numeric_response,collider,weather,VII,ppp,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,b
163,single_numeric_response,collider,weather,VII,ppp,humans,,61.0,pilot_study,45.0,Effect-Present Diagnostic Inference,b
164,single_numeric_response,collider,weather,VII,ppp,humans,,61.0,pilot_study,97.0,Effect-Present Diagnostic Inference,b
164,single_numeric_response,collider,weather,VII,ppp,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,b
165,single_numeric_response,collider,weather,VIII,ppp,gpt-4o,0.0,100.0,pilot_study,,Effect-Present Diagnostic Inference,c
165,single_numeric_response,collider,weather,VIII,ppp,humans,,65.5,pilot_study,45.0,Effect-Present Diagnostic Inference,c
166,single_numeric_response,collider,weather,VIII,ppp,gpt-4o,0.0,100.0,pilot_study,,Effect-Present Diagnostic Inference,c
166,single_numeric_response,collider,weather,VIII,ppp,humans,,65.5,pilot_study,22.0,Effect-Present Diagnostic Inference,c
167,single_numeric_response,collider,weather,IV,ppp,humans,,48.5,pilot_study,97.0,Conditional Independence,d
167,single_numeric_response,collider,weather,IV,ppp,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,d
168,single_numeric_response,collider,weather,IV,ppp,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,d
168,single_numeric_response,collider,weather,IV,ppp,humans,,48.5,pilot_study,109.0,Conditional Independence,d
169,single_numeric_response,collider,weather,V,ppp,humans,,49.0,pilot_study,22.0,Conditional Independence,e
169,single_numeric_response,collider,weather,V,ppp,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,e
170,single_numeric_response,collider,weather,V,ppp,humans,,49.0,pilot_study,109.0,Conditional Independence,e
170,single_numeric_response,collider,weather,V,ppp,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,e
171,single_numeric_response,collider,weather,IX,ppp,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,f
171,single_numeric_response,collider,weather,IX,ppp,humans,,26.0,pilot_study,4.0,Effect-Absent Diagnostic Inference,f
172,single_numeric_response,collider,weather,IX,ppp,humans,,26.0,pilot_study,97.0,Effect-Absent Diagnostic Inference,f
172,single_numeric_response,collider,weather,IX,ppp,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,f
173,single_numeric_response,collider,weather,X,ppp,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,g
173,single_numeric_response,collider,weather,X,ppp,humans,,32.5,pilot_study,109.0,Effect-Absent Diagnostic Inference,g
174,single_numeric_response,collider,weather,X,ppp,humans,,32.5,pilot_study,4.0,Effect-Absent Diagnostic Inference,g
174,single_numeric_response,collider,weather,X,ppp,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,g
175,single_numeric_response,collider,weather,XI,ppp,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,h
175,single_numeric_response,collider,weather,XI,ppp,humans,,26.0,pilot_study,22.0,Effect-Absent Diagnostic Inference,h
176,single_numeric_response,collider,weather,XI,ppp,humans,,26.0,pilot_study,4.0,Effect-Absent Diagnostic Inference,h
176,single_numeric_response,collider,weather,XI,ppp,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,h
177,single_numeric_response,collider,weather,I,ppp,humans,,24.0,pilot_study,45.0,Predictive Inference,i
177,single_numeric_response,collider,weather,I,ppp,gpt-4o,0.0,0.0,pilot_study,,Predictive Inference,i
178,single_numeric_response,collider,weather,II,ppp,gpt-4o,0.0,75.0,pilot_study,,Predictive Inference,j
178,single_numeric_response,collider,weather,II,ppp,humans,,62.0,pilot_study,4.0,Predictive Inference,j
179,single_numeric_response,collider,weather,II,ppp,gpt-4o,0.0,80.0,pilot_study,,Predictive Inference,j
179,single_numeric_response,collider,weather,II,ppp,humans,,62.0,pilot_study,97.0,Predictive Inference,j
180,single_numeric_response,collider,weather,III,ppp,gpt-4o,0.0,100.0,pilot_study,,Predictive Inference,k
180,single_numeric_response,collider,weather,III,ppp,humans,,97.0,pilot_study,45.0,Predictive Inference,k
221,single_numeric_response,collider,weather,VI,pmm,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,a
221,single_numeric_response,collider,weather,VI,pmm,humans,,74.16666666666667,pilot_study,138.0,Effect-Present Diagnostic Inference,a
222,single_numeric_response,collider,weather,VI,pmm,humans,,74.16666666666667,pilot_study,101.0,Effect-Present Diagnostic Inference,a
222,single_numeric_response,collider,weather,VI,pmm,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,a
223,single_numeric_response,collider,weather,VII,pmm,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,b
223,single_numeric_response,collider,weather,VII,pmm,humans,,75.0,pilot_study,56.0,Effect-Present Diagnostic Inference,b
224,single_numeric_response,collider,weather,VII,pmm,humans,,75.0,pilot_study,56.0,Effect-Present Diagnostic Inference,b
224,single_numeric_response,collider,weather,VII,pmm,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,b
225,single_numeric_response,collider,weather,VIII,pmm,humans,,96.66666666666667,pilot_study,101.0,Effect-Present Diagnostic Inference,c
225,single_numeric_response,collider,weather,VIII,pmm,gpt-4o,0.0,100.0,pilot_study,,Effect-Present Diagnostic Inference,c
226,single_numeric_response,collider,weather,VIII,pmm,gpt-4o,0.0,50.0,pilot_study,,Effect-Present Diagnostic Inference,c
226,single_numeric_response,collider,weather,VIII,pmm,humans,,96.66666666666667,pilot_study,101.0,Effect-Present Diagnostic Inference,c
227,single_numeric_response,collider,weather,IV,pmm,humans,,70.0,pilot_study,56.0,Conditional Independence,d
227,single_numeric_response,collider,weather,IV,pmm,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,d
228,single_numeric_response,collider,weather,IV,pmm,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,d
228,single_numeric_response,collider,weather,IV,pmm,humans,,70.0,pilot_study,56.0,Conditional Independence,d
229,single_numeric_response,collider,weather,V,pmm,humans,,46.666666666666664,pilot_study,138.0,Conditional Independence,e
229,single_numeric_response,collider,weather,V,pmm,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,e
230,single_numeric_response,collider,weather,V,pmm,humans,,46.666666666666664,pilot_study,138.0,Conditional Independence,e
230,single_numeric_response,collider,weather,V,pmm,gpt-4o,0.0,50.0,pilot_study,,Conditional Independence,e
231,single_numeric_response,collider,weather,IX,pmm,gpt-4o,0.0,50.0,pilot_study,,Effect-Absent Diagnostic Inference,f
231,single_numeric_response,collider,weather,IX,pmm,humans,,13.333333333333334,pilot_study,56.0,Effect-Absent Diagnostic Inference,f
232,single_numeric_response,collider,weather,IX,pmm,gpt-4o,0.0,50.0,pilot_study,,Effect-Absent Diagnostic Inference,f
232,single_numeric_response,collider,weather,IX,pmm,humans,,13.333333333333334,pilot_study,101.0,Effect-Absent Diagnostic Inference,f
233,single_numeric_response,collider,weather,X,pmm,humans,,31.666666666666668,pilot_study,138.0,Effect-Absent Diagnostic Inference,g
233,single_numeric_response,collider,weather,X,pmm,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,g
234,single_numeric_response,collider,weather,X,pmm,humans,,31.666666666666668,pilot_study,56.0,Effect-Absent Diagnostic Inference,g
234,single_numeric_response,collider,weather,X,pmm,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,g
235,single_numeric_response,collider,weather,XI,pmm,humans,,35.0,pilot_study,101.0,Effect-Absent Diagnostic Inference,h
235,single_numeric_response,collider,weather,XI,pmm,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,h
236,single_numeric_response,collider,weather,XI,pmm,gpt-4o,0.0,0.0,pilot_study,,Effect-Absent Diagnostic Inference,h
236,single_numeric_response,collider,weather,XI,pmm,humans,,35.0,pilot_study,138.0,Effect-Absent Diagnostic Inference,h
237,single_numeric_response,collider,weather,I,pmm,gpt-4o,0.0,0.0,pilot_study,,Predictive Inference,i
237,single_numeric_response,collider,weather,I,pmm,humans,,13.333333333333334,pilot_study,138.0,Predictive Inference,i
238,single_numeric_response,collider,weather,II,pmm,humans,,74.16666666666667,pilot_study,138.0,Predictive Inference,j
238,single_numeric_response,collider,weather,II,pmm,gpt-4o,0.0,75.0,pilot_study,,Predictive Inference,j
239,single_numeric_response,collider,weather,II,pmm,gpt-4o,0.0,75.0,pilot_study,,Predictive Inference,j
239,single_numeric_response,collider,weather,II,pmm,humans,,74.16666666666667,pilot_study,56.0,Predictive Inference,j
