agent,prompt_category,experiment,link,EA_raw,MV_raw,EA_raw_tasks,MV_raw_tasks,EA_model,MV_model,b,m1,m2,pC1,pC2,m_bar,m_gap,normative_metric,domain,loocv_r2,r2,loss,mae,rmse,loocv_rmse,params_tying,EA_raw_mean,EA_raw_median,EA_raw_lo,EA_raw_hi,MV_raw_mean,MV_raw_median,MV_raw_lo,MV_raw_hi,n_domains,meets_ea,meets_mv,meets_loocv_r2,normative_reasoner,ea_diff_threshold,mv_diff_threshold,loocv_r2_threshold
gemini-2.5-pro,numeric,random_abstract,noisy_or,0.5145833333333334,-0.005208333333333315,VIII - VI,IV - V,0.5027192831039429,0.0,0.0022711695637553,0.995750904083252,0.995750904083252,0.4938913881778717,0.4938913881778717,0.995750904083252,0.0,0.9934797345194967,all,0.9996012029837188,0.9939347026232442,0.0323784835636615,0.0088905673474073,0.0301107037812471,0.0079486744112043,3,0.5145833333333333,0.5125,0.509375,0.5218750000000001,-0.005208333333333333,0.0,-0.015625,0.0,3,True,True,True,True,0.0995,0.1,0.937
gpt-3.5-turbo,numeric,random_abstract,noisy_or,-0.029166666666666674,0.1479166666666667,VIII - VI,IV - V,0.010413169860839844,0.0,0.626952052116394,0.2738578617572784,0.2738578617572784,0.7149937748908997,0.7149937748908997,0.2738578617572784,0.0,-0.35309419035911566,all,0.3417509527149456,0.0491726210121323,0.0452904552221298,0.1682819426059723,0.2160131633281707,0.0576047215223387,3,-0.029166666666666636,-0.03437499999999993,-0.11249999999999993,0.059374999999999956,0.1479166666666667,0.15625,0.028125000000000067,0.259375,3,False,False,False,False,0.0995,0.1,0.937
gpt-4,numeric,random_abstract,noisy_or,0.4302083333333333,0.0,VIII - VI,IV - V,0.3969069719314575,0.0,0.0756405442953109,0.8118893504142761,0.8118893504142761,0.4701548516750335,0.4701548516750335,0.8118893504142761,0.0,0.7362488061189653,all,0.9293689190909512,0.729546710550135,0.0292904432862997,0.1278154700994491,0.1773813068866729,0.083961016565383,3,0.4302083333333333,0.46875,0.328125,0.4937500000000001,0.0,0.0,0.0,0.0,3,True,True,False,False,0.0995,0.1,0.937
gpt-4.1,numeric,random_abstract,noisy_or,0.2889406028368794,0.01874999999999999,VIII - VI,IV - V,0.3459276556968689,0.0,0.1812644153833389,0.9440627098083496,0.9440627098083496,0.4617493450641632,0.4617493450641632,0.9440627098083496,0.0,0.7627982944250107,all,0.9273598394145894,0.867584744918982,0.0278676077723503,0.0846961960196495,0.1272486001253128,0.0926928756361971,3,0.28881944444444446,0.3070833333333333,0.21875,0.34062499999999996,0.018750000000000006,0.012500000000000011,0.0,0.04375000000000001,3,True,True,False,False,0.0995,0.1,0.937
gpt-4.1-mini,numeric,random_abstract,noisy_or,0.35937499999999994,-0.012500000000000011,VIII - VI,IV - V,0.34363117814064026,0.0,0.1193750649690628,0.750292181968689,0.750292181968689,0.4521269500255584,0.4521269500255584,0.750292181968689,0.0,0.6309171169996262,all,0.9026650044330276,0.5474828184114509,0.0391453094780445,0.1664982140064239,0.2401745766401291,0.0918056929178043,3,0.359375,0.32187499999999997,0.303125,0.453125,-0.012500000000000011,-0.018750000000000044,-0.06874999999999998,0.04999999999999999,3,True,True,False,False,0.0995,0.1,0.937
gpt-4o,numeric,random_abstract,noisy_or,0.4395833333333334,0.0625,VIII - VI,IV - V,0.5483346879482269,0.0,0.0120721738785505,0.9379380345344543,0.9379380345344543,0.419643759727478,0.419643759727478,0.9379380345344543,0.0,0.9258658606559038,all,0.9733784562592628,0.7917137135166646,0.0444747544825077,0.1029298603534698,0.1844061613082885,0.0616022573624327,3,0.4395833333333334,0.4375,0.375,0.50625,0.0625,0.09375,0.0,0.09375,3,True,True,True,True,0.0995,0.1,0.937
gpt-5-mini-v_low-r_high,numeric,random_abstract,noisy_or,0.5864583333333333,0.0,VIII - VI,IV - V,0.49824267625808716,0.0,0.0004903135122731,0.9659215211868286,0.9985334873199464,0.5008975863456726,0.5008975863456726,0.9822275042533875,0.03261196613311779,0.9817371907411143,all,0.996015770464271,0.9947931464783296,0.0310515947639942,0.0152127426117658,0.0265865121036767,0.0246703058169009,4,0.5864583333333333,0.5875,0.578125,0.59375,0.0,0.0,0.0,0.0,3,True,True,True,True,0.0995,0.1,0.937
gpt-5-mini-v_low-r_low,numeric,random_abstract,noisy_or,0.5904166666666667,0.0,VIII - VI,IV - V,0.45603621006011963,0.0,0.0663630291819572,0.9107998609542848,0.9107998609542848,0.4398989081382751,0.4398989081382751,0.9107998609542848,0.0,0.8444368317723275,all,0.9577235965192714,0.9401661046543056,0.0243266262114048,0.0669620260596275,0.0834147557616233,0.0711120865839684,3,0.5904166666666667,0.6112500000000001,0.53,0.63,0.0,0.0,0.0,0.0,3,True,True,True,True,0.0995,0.1,0.937
gpt-5-mini-v_low-r_medium,numeric,random_abstract,noisy_or,0.5560416666666668,0.0,VIII - VI,IV - V,0.4548727869987488,0.0,0.0562117509543895,0.9319239258766174,0.9319239258766174,0.4650297164916992,0.4650297164916992,0.9319239258766174,0.0,0.875712174922228,all,0.9740782214417372,0.950617195990151,0.0255398955196142,0.0556044690310955,0.0783697515726089,0.0573041817106807,3,0.5560416666666667,0.5562499999999999,0.5431250000000001,0.5687500000000001,0.0,0.0,0.0,0.0,3,True,True,True,True,0.0995,0.1,0.937
gpt-5-mini-v_low-r_minimal,numeric,random_abstract,noisy_or,0.1364583333333333,-0.019791666666666707,VIII - VI,IV - V,0.13323819637298584,0.0,0.3523816764354706,0.5924959778785706,0.5924959778785706,0.4447237551212311,0.4447237551212311,0.5924959778785706,0.0,0.24011430144309998,all,0.8681246863722859,0.5715837714417797,0.0148546658456325,0.1187452971935272,0.1633721590042114,0.0782889270586193,3,0.13645833333333338,0.12625000000000003,0.07062500000000005,0.21250000000000002,-0.01979166666666667,-0.021874999999999978,-0.02812500000000001,-0.009375000000000022,3,True,True,False,False,0.0995,0.1,0.937
gpt-5-nano-v_low-r_low,numeric,random_abstract,noisy_or,0.3416666666666667,-0.006249999999999978,VIII - VI,IV - V,0.28523367643356323,0.0,0.1712054014205932,0.6688686609268188,0.6688686609268188,0.39191535115242,0.39191535115242,0.6688686609268188,0.0,0.49766325950622564,all,0.9545170177319612,0.7145294482860047,0.0184813179075717,0.1024836078286171,0.1454811692237854,0.0534159329220038,3,0.3416666666666666,0.38749999999999996,0.17500000000000004,0.4624999999999999,-0.006249999999999978,0.03125,-0.08124999999999993,0.03125,3,True,True,True,True,0.0995,0.1,0.937
gpt-5-nano-v_low-r_medium,numeric,random_abstract,noisy_or,0.5193749999999999,-0.02395833333333336,VIII - VI,IV - V,0.4623721241950989,0.0,0.0547306723892688,0.913043975830078,0.913043975830078,0.4502334892749786,0.4502334892749786,0.913043975830078,0.0,0.8583133034408092,all,0.9714310237480702,0.9192388611736544,0.0270563401281833,0.0745297521352768,0.099061794579029,0.0594380097526539,3,0.519375,0.55625,0.44375000000000003,0.558125,-0.02395833333333332,-0.025000000000000022,-0.04062499999999997,-0.006249999999999978,3,True,True,True,True,0.0995,0.1,0.937
gpt-5-nano-v_low-r_minimal,numeric,random_abstract,noisy_or,-0.04875000000000007,0.18354166666666666,VIII - VI,IV - V,0.04542076587677002,0.0,0.3784391582012176,0.2896774709224701,0.2896774709224701,0.4657811224460602,0.4657811224460602,0.2896774709224701,0.0,-0.0887616872787475,all,0.3407567518906129,0.0904207338483232,0.0398759022355079,0.220845952630043,0.2712160050868988,0.0894308129303616,3,-0.048749999999999995,-0.04062500000000002,-0.09562499999999996,-0.010000000000000009,0.1835416666666667,0.19875000000000004,0.10812500000000003,0.24375,3,False,False,False,False,0.0995,0.1,0.937
gpt-5-v_low-r_low,numeric,random_abstract,noisy_or,0.6104166666666668,-0.010416666666666685,VIII - VI,IV - V,0.5078661441802979,0.0,0.0342486463487148,0.9641210436820984,0.9641210436820984,0.4406359493732452,0.4406359493732452,0.9641210436820984,0.0,0.9298723973333836,all,0.9700379869448053,0.9533638879848088,0.0303718578070402,0.0607698373496532,0.079527772963047,0.0648188889667106,3,0.6104166666666667,0.6,0.59375,0.6375,-0.010416666666666666,0.0,-0.03125,0.0,3,True,True,True,True,0.0995,0.1,0.937
gpt-5-v_low-r_medium,numeric,random_abstract,noisy_or,0.5552083333333333,0.0,VIII - VI,IV - V,0.48694247007369995,0.0,0.0336505845189094,0.975006639957428,0.975006639957428,0.4696307182312011,0.4696307182312011,0.975006639957428,0.0,0.9413560554385185,all,0.9807433581952422,0.9674754768517604,0.0301831923425197,0.0433331541717052,0.067285232245922,0.0525266799400732,3,0.5552083333333334,0.55,0.534375,0.58125,0.0,0.0,0.0,0.0,3,True,True,True,True,0.0995,0.1,0.937
gpt-5-v_low-r_minimal,numeric,random_abstract,noisy_or,0.22395833333333337,0.006250000000000033,VIII - VI,IV - V,0.28700754046440125,0.0,0.2466475665569305,0.9094826579093932,0.9094826579093932,0.4595761299133301,0.4595761299133301,0.9094826579093932,0.0,0.6628350913524628,all,0.8950208470987541,0.8166459078995093,0.0245898757129907,0.103692926466465,0.1444531679153442,0.1052469254857574,3,0.22395833333333334,0.221875,0.20937499999999998,0.24062499999999998,0.006249999999999996,0.006249999999999978,0.0,0.012500000000000011,3,True,True,False,False,0.0995,0.1,0.937
humans,single_numeric_response,random_abstract,noisy_or,0.0995138888888889,0.10041666666666665,VIII - VI,IV - V,0.18826866149902344,0.0,0.2389822602272033,0.6302152276039124,0.6302152276039124,0.528549313545227,0.528549313545227,0.6302152276039124,0.0,0.39123296737670904,all,0.9367289435067084,0.7723586489071014,0.0094850780442357,0.090837225317955,0.1100012958049774,0.0564477360421389,3,0.09951388888888894,0.12135416666666665,0.009895833333333437,0.16729166666666673,0.10041666666666665,0.09364583333333337,0.05781249999999993,0.14979166666666666,3,True,False,False,False,0.0995,0.1,0.937
o1,numeric,random_abstract,noisy_or,0.5666666666666667,-0.022916666666666696,VIII - VI,IV - V,0.47333893179893494,0.0,0.0674988925457,0.9662187695503236,0.9662187695503236,0.4364862740039825,0.4364862740039825,0.9662187695503236,0.0,0.8987198770046236,all,0.942740135831489,0.9466840072364536,0.0286065377295017,0.0662716850638389,0.0836024954915046,0.0875862875566862,3,0.5666666666666667,0.55,0.5406249999999999,0.609375,-0.02291666666666668,-0.012500000000000011,-0.04375000000000001,-0.012500000000000011,3,True,True,True,True,0.0995,0.1,0.937
o1-mini,numeric,random_abstract,noisy_or,0.5447916666666667,0.021874999999999922,VIII - VI,IV - V,0.473455011844635,0.0,0.0488363429903984,0.8301036953926086,0.8301036953926086,0.4139593839645386,0.4139593839645386,0.8301036953926086,0.0,0.7812673524022102,all,0.9612341228725338,0.8623310142765652,0.0258231200277805,0.085478276014328,0.1230148002505302,0.0641242647310691,3,0.5447916666666667,0.54375,0.49687499999999996,0.59375,0.021875000000000016,0.034375000000000044,-0.012500000000000011,0.04375000000000001,3,True,True,True,True,0.0995,0.1,0.937
o3,numeric,random_abstract,noisy_or,0.45895833333333325,0.0010416666666666075,VIII - VI,IV - V,0.3834143280982971,0.0,0.0999666899442672,0.8218879699707031,0.8218879699707031,0.455820769071579,0.455820769071579,0.8218879699707031,0.0,0.721921280026436,all,0.9455125416775588,0.9204242589176598,0.0169553756713867,0.0670146122574806,0.085261546075344,0.0709662631757278,3,0.45895833333333336,0.46437500000000004,0.4437499999999999,0.46875,0.001041666666666663,0.0,-0.003124999999999989,0.006249999999999978,3,True,True,True,True,0.0995,0.1,0.937
o3-mini,numeric,random_abstract,noisy_or,0.6322916666666667,-0.013541666666666674,VIII - VI,IV - V,0.6022918820381165,0.0,0.0248887948691844,0.8483301401138306,0.8483301401138306,0.3055605292320251,0.3055605292320251,0.8483301401138306,0.0,0.8234413452446462,all,0.9290004123159036,0.8469203647303243,0.0397031567990779,0.1101491823792457,0.1441556960344314,0.0965557515154149,3,0.6322916666666667,0.640625,0.603125,0.6531250000000001,-0.013541666666666655,0.0,-0.04999999999999999,0.009375000000000022,3,True,True,False,False,0.0995,0.1,0.937
